lon,lat
141.6184457,-10.9710401
141.5910295,-11.16295341
141.5910295,-11.21778578
141.5910295,-11.27261815
141.5636133,-11.32745053
141.5636133,-11.3822829
141.5361971,-11.43711528
141.5361971,-11.49194765
141.508781,-11.51936384
141.4813648,-11.54678002
141.4539486,-11.6016124
141.4539486,-11.65644477
141.4265324,-11.68386096
141.4265324,-11.73869333
141.3991162,-11.76610952
141.3991162,-11.82094189
141.3717,-11.84835808
141.3717,-11.90319045
141.3717,-11.95802283
141.3442838,-12.0128552
141.3168676,-12.06768757
141.2894515,-12.09510376
141.2620353,-12.14993614
141.2072029,-12.20476851
141.1523705,-12.25960088
141.1249543,-12.28701707
141.0975382,-12.34184944
141.070122,-12.36926563
141.0427058,-12.39668182
141.0427058,-12.45151419
141.0152896,-12.47893038
140.9878734,-12.50634657
140.9604572,-12.53376275
140.933041,-12.56117894
140.9056248,-12.61601131
140.8782087,-12.6434275
140.8507925,-12.69825987
140.8233763,-12.72567606
140.8233763,-12.78050843
140.8233763,-12.83534081
140.8233763,-12.91758937
140.8233763,-12.97242174
140.8233763,-13.02725412
140.8233763,-13.08208649
140.7959601,-13.13691886
140.7959601,-13.19175124
140.7685439,-13.21916743
140.7685439,-13.2739998
140.7411277,-13.30141599
140.7137115,-13.38366455
140.6862953,-13.43849692
140.6862953,-13.49332929
140.6588792,-13.54816167
140.6588792,-13.60299404
140.631463,-13.63041023
140.6040468,-13.65782642
140.6040468,-13.71265879
140.5492144,-13.74007498
140.5217982,-13.79490735
140.494382,-13.82232354
140.4669659,-13.87715591
140.4395497,-13.9045721
140.4121335,-13.93198829
140.3847173,-13.95940447
140.3573011,-13.98682066
140.3298849,-14.04165303
140.3024687,-14.06906922
140.2750525,-14.09648541
140.2750525,-14.15131778
140.2476364,-14.17873397
140.2202202,-14.20615015
140.2202202,-14.26098253
140.192804,-14.28839872
140.1653878,-14.34323109
140.1653878,-14.39806346
140.1379716,-14.42547965
140.1105554,-14.48031202
140.055723,-14.5351444
140.0283069,-14.56256058
140.0008907,-14.61739296
139.9734745,-14.67222533
139.9186421,-14.72705771
139.8912259,-14.75447389
139.8638097,-14.80930627
139.8363936,-14.83672245
139.8089774,-14.89155483
139.7815612,-14.91897101
139.754145,-14.97380339
139.754145,-15.02863576
139.754145,-15.11088432
139.7267288,-15.22054907
139.7267288,-15.27538144
139.6993126,-15.33021382
139.6718964,-15.38504619
139.6170641,-15.46729475
139.5622317,-15.52212713
139.5348155,-15.5769595
139.5073993,-15.63179187
139.4799831,-15.68662425
139.4525669,-15.74145662
139.4251507,-15.76887281
139.3977346,-15.82370518
139.3703184,-15.85112137
139.3429022,-15.90595374
139.315486,-15.96078612
139.2880698,-16.01561849
139.2880698,-16.07045086
139.2880698,-16.12528324
139.2880698,-16.18011561
139.2880698,-16.23494799
139.2880698,-16.28978036
139.315486,-16.31719655
139.3429022,-16.37202892
139.3429022,-16.42686129
139.3703184,-16.48169367
139.3703184,-16.53652604
139.3703184,-16.59135842
139.3429022,-16.6187746
139.3429022,-16.67360698
139.315486,-16.72843935
139.315486,-16.78327172
139.2880698,-16.8381041
139.2880698,-16.89293647
139.2606536,-16.94776885
139.2332374,-17.00260122
139.1784051,-17.05743359
139.1509889,-17.11226597
139.1235727,-17.13968215
139.1235727,-17.19451453
139.0961565,-17.22193072
139.0687403,-17.27676309
139.0687403,-17.33159546
139.0139079,-17.38642784
139.0139079,-17.44126021
138.9590756,-17.4686764
138.9316594,-17.49609258
138.876827,-17.52350877
138.8219946,-17.55092496
138.7671623,-17.55092496
138.6849137,-17.55092496
138.6574975,-17.57834115
138.6026651,-17.57834115
138.575249,-17.60575733
138.5204166,-17.63317352
138.4930004,-17.66058971
138.4655842,-17.71542208
138.438168,-17.74283827
138.4107518,-17.79767064
138.3833356,-17.85250301
138.3559195,-17.90733539
138.3285033,-17.93475158
138.3010871,-17.96216776
138.2462547,-17.98958395
138.1914223,-18.01700014
138.13659,-18.04441632
138.1091738,-18.07183251
138.0817576,-18.0992487
138.0543414,-18.12666488
138.0269252,-18.18149726
137.999509,-18.23632963
137.9446767,-18.29116201
137.9172605,-18.34599438
137.8898443,-18.37341057
137.8624281,-18.40082675
137.8350119,-18.42824294
137.8075957,-18.48307531
137.7801795,-18.53790769
137.7801795,-18.59274006
137.7801795,-18.64757244
137.7527633,-18.67498862
137.7527633,-18.729821
137.7527633,-18.78465337
137.7253472,-18.81206956
137.697931,-18.86690193
137.6705148,-18.89431812
137.6430986,-18.9217343
137.6156824,-18.94915049
137.5882662,-19.00398287
137.56085,-19.03139905
137.5334339,-19.05881524
137.5060177,-19.11364761
137.4786015,-19.1410638
137.4511853,-19.16847999
137.4237691,-19.19589617
137.3963529,-19.25072855
137.3689367,-19.30556092
137.3415205,-19.33297711
137.3141044,-19.38780948
137.2866882,-19.41522567
137.259272,-19.47005804
137.2318558,-19.5523066
137.2044396,-19.63455516
137.1770234,-19.68938754
137.1496072,-19.74421991
137.1496072,-19.79905229
137.1496072,-19.85388466
137.122191,-19.88130085
137.122191,-19.93613322
137.122191,-19.99096559
137.0947749,-20.04579797
137.0947749,-20.10063034
137.0673587,-20.12804653
137.0673587,-20.1828789
137.0399425,-20.21029509
137.0399425,-20.26512746
137.0125263,-20.29254365
136.9851101,-20.34737602
136.9576939,-20.4022084
136.9302777,-20.42962458
136.9302777,-20.48445696
136.9028616,-20.53928933
136.8754454,-20.56670552
136.8480292,-20.62153789
136.820613,-20.64895408
136.820613,-20.70378645
136.7931968,-20.73120264
136.7657806,-20.75861883
