lon,lat
142.2587709,-32.58125764
142.2567318,-32.57887336
142.256324,-32.57887336
142.2538771,-32.57728384
142.2514302,-32.5760917
142.2489832,-32.57489956
142.2465363,-32.57331004
142.2440894,-32.57251528
142.2416425,-32.57132314
142.2391955,-32.570131
142.2367486,-32.56854148
142.2343017,-32.56695197
142.2318547,-32.56496507
142.2294078,-32.56377293
142.2269609,-32.56258079
142.224514,-32.56178603
142.222067,-32.56099127
142.2196201,-32.55979913
142.2171732,-32.55820961
142.2155419,-32.55582533
142.2147263,-32.55344105
142.2135028,-32.55105677
142.2118715,-32.54867249
142.2102402,-32.54628821
142.2082011,-32.54390393
142.2069777,-32.54151965
142.2049385,-32.53913537
142.2033073,-32.53675109
142.201676,-32.53436681
142.2000447,-32.53198253
142.1988212,-32.52959825
142.1963743,-32.52761135
142.1939274,-32.52602183
142.1914804,-32.52482969
142.1890335,-32.52363755
142.1865866,-32.52165066
142.1849553,-32.51926638
142.1841397,-32.5168821
142.183324,-32.51449782
142.1829162,-32.51211354
142.1812849,-32.50972926
142.1800615,-32.50734498
142.1792458,-32.5049607
142.1784302,-32.50257642
142.1776145,-32.50019214
142.1763911,-32.49780786
142.1747598,-32.49542358
142.1723128,-32.4930393
142.1702737,-32.49065502
142.1686425,-32.48827074
142.1678268,-32.48588646
142.167419,-32.48350218
142.1678268,-32.4811179
142.1682346,-32.47873362
142.1690503,-32.47634934
142.1694581,-32.47396507
142.1698659,-32.47158079
142.1690503,-32.46919651
142.1678268,-32.46760699
142.1670112,-32.46641485
142.1657877,-32.46403057
142.1641564,-32.46164629
142.1625251,-32.45926201
142.1608939,-32.45687773
142.1588547,-32.45449345
142.1576313,-32.45210917
142.1564078,-32.44972489
142.156,-32.44734061
142.156,-32.44495633
142.156,-32.44257205
142.156,-32.44018777
142.156,-32.43780349
142.1564078,-32.43541921
142.1572235,-32.43303493
142.1588547,-32.43065066
142.160486,-32.42826638
142.162933,-32.42667686
142.1653799,-32.42548472
142.1678268,-32.4238952
142.1702737,-32.42270306
142.1727207,-32.42111354
142.1747598,-32.41872926
142.1759832,-32.41634498
142.1772067,-32.4139607
142.178838,-32.41157642
142.1808771,-32.40919214
142.183324,-32.40760262
142.1853631,-32.40521834
142.1857709,-32.40283406
142.1878101,-32.40044978
142.1890335,-32.3980655
