lon,lat
-111.0263617,35.03179174
-111.0262979,35.03184895
-111.0262979,35.03184895
-111.026234,35.03187756
-111.0261702,35.03189186
-111.0261064,35.03189186
-111.0260426,35.03189186
-111.0259787,35.03189186
-111.0259149,35.03187756
-111.0258511,35.03184895
-111.0257872,35.03182034
-111.0257234,35.03180604
-111.0256596,35.03179174
-111.0255957,35.03179174
-111.0255319,35.03180604
-111.0254574,35.03184895
-111.0253936,35.03190617
-111.0253298,35.03196338
-111.025266,35.03202059
-111.0252021,35.03207781
-111.0251383,35.03212072
-111.0250745,35.03214933
-111.025,35.03216363
-111.0249255,35.03216363
-111.0248511,35.03216363
-111.0247872,35.03216363
-111.0247234,35.03214933
-111.0246489,35.03213502
-111.0245851,35.03213502
-111.0245213,35.03213502
-111.0244468,35.03217793
-111.0243723,35.03222084
-111.0243085,35.03226375
-111.0242447,35.03229236
-111.0241809,35.03230666
-111.024117,35.03230666
-111.0240532,35.03230666
-111.0239894,35.03230666
-111.0239255,35.03232097
-111.0238617,35.03233527
-111.0237979,35.03237818
-111.023734,35.03239248
-111.0236702,35.03240679
-111.0236064,35.03240679
-111.0235426,35.03240679
-111.0234787,35.03240679
-111.0234149,35.03242109
-111.0233511,35.0324497
-111.0232766,35.032464
-111.0232128,35.032464
-111.0231383,35.032464
-111.0230745,35.032464
-111.0230106,35.0324497
-111.0229362,35.03243539
-111.0228617,35.03240679
-111.0227979,35.03239248
-111.022734,35.03237818
-111.0226596,35.03237818
-111.0225957,35.03237818
-111.0225319,35.03237818
-111.0224574,35.03237818
-111.022383,35.03239248
-111.0223191,35.03240679
-111.0222553,35.03242109
-111.0221809,35.03243539
-111.022117,35.0324497
-111.0220532,35.03247831
-111.0219894,35.03249261
-111.0219255,35.03252122
-111.0218617,35.03256413
-111.0217979,35.03259273
-111.021734,35.03260704
-111.0216702,35.03260704
-111.0216064,35.03260704
-111.0215426,35.03260704
-111.0214787,35.03260704
-111.0214149,35.03260704
-111.0213511,35.03262134
-111.0212872,35.03262134
-111.0212234,35.03262134
-111.0211596,35.03262134
-111.0210957,35.03262134
-111.0210319,35.03262134
-111.0209681,35.03260704
-111.0209043,35.03259273
-111.0208404,35.03257843
-111.0207766,35.03254982
-111.0207128,35.03250691
-111.0206489,35.03249261
-111.0205851,35.032464
-111.0205106,35.0324497
-111.0204468,35.03243539
-111.020383,35.03243539
-111.0203191,35.03242109
-111.0202553,35.03242109
-111.0201809,35.03242109
-111.020117,35.03240679
-111.0200532,35.03240679
-111.0199894,35.03239248
-111.0199255,35.03237818
-111.0198511,35.03234957
-111.0197872,35.03233527
-111.0197234,35.03232097
-111.0196596,35.03230666
-111.0195957,35.03230666
-111.0195319,35.03229236
-111.0194574,35.03227806
-111.0193936,35.03226375
-111.0193191,35.03224945
-111.0192553,35.03222084
-111.0191915,35.03217793
-111.0191277,35.03210641
-111.0190638,35.03202059
-111.019,35.03199199
-111.0189255,35.03196338
-111.0188617,35.03194908
-111.0187979,35.03192047
-111.018734,35.03189186
-111.0186702,35.03184895
-111.0186064,35.03179174
-111.0185426,35.03173452
-111.0184787,35.03167731
-111.0184149,35.03160579
-111.0183511,35.03151997
-111.0182766,35.03143415
-111.0182128,35.03136263
-111.0181383,35.03129112
-111.0180745,35.0312196
-111.0180106,35.03116238
-111.0179362,35.03109087
-111.0178617,35.03101935
-111.0177872,35.03094783
-111.0177128,35.03084771
-111.0176489,35.03077619
-111.0175851,35.03067607
-111.0175213,35.03057594
-111.0174574,35.03049012
-111.0173936,35.0304186
-111.0173298,35.03036139
-111.017266,35.03028987
-111.0172234,35.03020405
-111.0171915,35.03011823
-111.0171596,35.03001811
-111.0171383,35.02993229
-111.0171277,35.02983216
-111.0171064,35.02974634
-111.0170851,35.02966052
-111.0170426,35.0295747
-111.0169894,35.02948888
-111.0169468,35.02938875
-111.0169149,35.02930293
-111.0169043,35.02921711
-111.0169255,35.02913129
-111.0169255,35.02904547
-111.0168723,35.02895965
-111.0168085,35.02890243
-111.0167553,35.02881661
-111.016734,35.02873079
-111.0167447,35.02864497
-111.016766,35.02855915
-111.016766,35.02845903
-111.0167447,35.02837321
-111.0167128,35.02828738
-111.0166702,35.02820156
-111.0166383,35.02811574
-111.0166064,35.02802992
-111.0165957,35.0279441
-111.0165745,35.02785828
-111.0165638,35.02777246
-111.0165532,35.02768664
-111.0165319,35.02760082
-111.0165106,35.027515
-111.0164894,35.02741487
-111.0164468,35.02731475
-111.0164149,35.02722893
-111.016383,35.02714311
-111.0163404,35.02705729
-111.0162979,35.02697146
-111.0162447,35.02687134
-111.0161915,35.02675691
-111.0161489,35.02665679
-111.016117,35.02657097
-111.0160957,35.02648515
