-159.783,2.50587
-159.783,2.50744
-159.788,2.51531
-159.791,2.52476
-159.794,2.53578
-159.797,2.54523
-159.799,2.55467
-159.802,2.56254
-159.805,2.57356
-159.807,2.58458
-159.808,2.59403
-159.81,2.60347
-159.81,2.61449
-159.81,2.62551
-159.808,2.63496
-159.807,2.6444
-159.805,2.65385
-159.802,2.66487
-159.8,2.67431
-159.799,2.68376
-159.796,2.69163
-159.796,2.70265
-159.794,2.71209
-159.792,2.72311
-159.789,2.73256
-159.786,2.742
-159.783,2.75145
-159.78,2.76247
-159.777,2.77191
-159.774,2.77978
-159.77,2.78923
-159.767,2.79867
-159.764,2.80654
-159.759,2.81599
-159.753,2.82543
-159.745,2.83488
-159.737,2.84275
-159.728,2.84904
-159.718,2.85534
-159.709,2.86006
-159.698,2.86478
-159.69,2.8695
-159.682,2.87265
-159.674,2.8758
-159.663,2.87895
-159.654,2.88052
-159.646,2.88367
-159.635,2.88524
-159.625,2.88839
-159.614,2.88997
-159.605,2.89154
-159.594,2.89311
-159.581,2.89469
-159.572,2.89469
-159.561,2.89469
-159.55,2.89469
-159.54,2.89311
-159.528,2.88997
-159.52,2.88682
-159.51,2.88367
-159.503,2.88052
-159.495,2.87737
-159.485,2.87423
-159.477,2.87108
-159.47,2.86793
-159.462,2.86321
-159.454,2.85849
-159.444,2.85376
-159.436,2.84747
-159.429,2.84275
-159.419,2.83488
-159.411,2.83015
-159.405,2.82386
-159.399,2.81756
-159.391,2.81126
-159.383,2.80654
-159.375,2.80182
-159.369,2.79552
-159.361,2.78765
-159.355,2.78136
-159.348,2.77349
-159.344,2.76404
-159.34,2.75617
-159.337,2.7483
-159.334,2.73886
-159.331,2.73098
-159.328,2.72154
-159.325,2.71209
-159.321,2.70422
-159.317,2.69635
-159.312,2.68691
-159.309,2.67746
-159.306,2.66802
-159.303,2.657
-159.301,2.64598
-159.298,2.63339
-159.296,2.62394
-159.295,2.61292
-159.293,2.60347
-159.293,2.59403
-159.292,2.58458
-159.293,2.57514
-159.296,2.56727
-159.298,2.55625
-159.301,2.54838
-159.304,2.5405
-159.309,2.53263
-159.314,2.52319
-159.32,2.51374
-159.326,2.50429
-159.332,2.498
-159.34,2.4917
-159.347,2.48383
-159.356,2.4791
-159.364,2.47281
-159.373,2.46808
-159.383,2.46336
-159.391,2.45864
-159.4,2.45077
-159.41,2.44447
-159.418,2.43975
-159.427,2.4366
-159.435,2.43345
-159.443,2.4303
-159.454,2.424
-159.463,2.41928
-159.473,2.41456
-159.481,2.41141
-159.49,2.40983
-159.501,2.40668
-159.512,2.40511
-159.525,2.40353
-159.536,2.40196
-159.548,2.40196
-159.562,2.40511
-159.575,2.40668
-159.586,2.40668
-159.596,2.40826
-159.607,2.40983
-159.618,2.41298
-159.627,2.41456
-159.638,2.4177
-159.649,2.42085
-159.659,2.424
-159.666,2.42715
-159.674,2.4303
-159.682,2.43345
-159.692,2.4366
-159.701,2.44132
-159.709,2.44604
-159.717,2.45077
-159.725,2.45706
-159.733,2.46336
-159.742,2.46966
-159.75,2.47753
-159.756,2.48383
-159.763,2.49013
-159.769,2.49642
